signal_name,horizon,mean_rank_ic,median_rank_ic,ic_std,icir,t_stat,positive_rate,n_dates,quantile_spread,top_minus_bottom,notes
ret_1d_momentum,fwd_ret_5d,0.17935483870967742,0.18665183537263624,0.19790442562641294,0.9062699742159791,8.105925073255644,0.825,80.0,0.003017544372997681,0.006166260972063738,baseline candidate suite v0
ret_1d_momentum,fwd_ret_20d,0.12803670745272525,0.13615127919911013,0.16880062206143326,0.7585085048213128,6.78430631316873,0.7625,80.0,0.004476712344262425,0.007525858393452438,baseline candidate suite v0
ret_1d_reversal,fwd_ret_5d,-0.17935483870967742,-0.18665183537263624,0.19790442562641294,-0.9062699742159791,-8.105925073255644,0.175,80.0,-0.0031487165990660587,-0.006166260972063738,baseline candidate suite v0
ret_1d_reversal,fwd_ret_20d,-0.12803670745272525,-0.13615127919911013,0.16880062206143326,-0.7585085048213128,-6.78430631316873,0.2375,80.0,-0.003049146049190013,-0.007525858393452438,baseline candidate suite v0
ret_5d_momentum,fwd_ret_5d,0.3538876529477197,0.35506117908787543,0.18720935451620838,1.8903310353387308,16.90763477997984,0.9625,80.0,0.006586083889250377,0.013532960163682625,baseline candidate suite v0
ret_5d_momentum,fwd_ret_20d,0.2581479421579533,0.26918798665183535,0.16955929469253025,1.5224641186793384,13.617333050685232,0.925,80.0,0.008327263031760674,0.01739653037363127,baseline candidate suite v0
ret_5d_reversal,fwd_ret_5d,-0.3538876529477197,-0.35506117908787543,0.18720935451620838,-1.8903310353387308,-16.90763477997984,0.0375,80.0,-0.006946876274432248,-0.013532960163682625,baseline candidate suite v0
ret_5d_reversal,fwd_ret_20d,-0.2581479421579533,-0.26918798665183535,0.16955929469253025,-1.5224641186793384,-13.617333050685232,0.075,80.0,-0.009069267341870597,-0.01739653037363127,baseline candidate suite v0
ret_20d_momentum,fwd_ret_5d,0.47101223581757506,0.4698553948832036,0.15188274750604933,3.101156935542104,27.737590867068317,1.0,80.0,0.008320967023701756,0.01648021626437981,baseline candidate suite v0
ret_20d_momentum,fwd_ret_20d,0.3963459399332592,0.40222469410456063,0.15185817138298655,2.609974401269946,23.344320723095656,1.0,80.0,0.013302744959038632,0.026053239943832553,baseline candidate suite v0
ret_20d_reversal,fwd_ret_5d,-0.47101223581757506,-0.4698553948832036,0.15188274750604933,-3.101156935542104,-27.737590867068317,0.0,80.0,-0.008159249240678058,-0.01648021626437981,baseline candidate suite v0
ret_20d_reversal,fwd_ret_20d,-0.3963459399332592,-0.40222469410456063,0.15185817138298655,-2.609974401269946,-23.344320723095656,0.0,80.0,-0.01275049498479392,-0.026053239943832553,baseline candidate suite v0
